,Name,Adress,String,Kontakt,Bundesland,ICU low care,ICU high care,ECMO,Stand,Location
0,Karl-Olga-Krankenhaus Stuttgart,"Hackstraße 61, 70190 Stuttgart",Karl-Olga-Krankenhaus Stuttgart Anästhesiologie und Intensivmedizin Hackstraße 61 70190 Stuttgart,A5 Website,BW,Ausgelastet,Begrenzt,Nicht verfügbar,21.03.2020 19:09,"(48.78972875, 9.204069290291686)"
1,Deutsches Herzzentrum Berlin,"Augustenburger Platz 1, 13353 Berlin","Deutsches Herzzentrum Berlin Herz-, Thorax- und Gefäßchirurgie Augustenburger Platz 1 13353 Berlin",Kardiochirurgische Intensivmedizin Website,BE,Ausgelastet,Begrenzt,Begrenzt,21.03.2020 19:00,"(52.5422772, 13.3473804)"
2,Klinik Schillerhöhe Robert-Bosch-Krankenhaus,"Solitudestrasse 18, 70839 Gerlingen",Klinik Schillerhöhe Robert-Bosch-Krankenhaus Anästhesie und operative Intensivmedizin Solitudestrasse 18 70839 Gerlingen,Intensiv Website,BW,Verfügbar,Verfügbar,Verfügbar,21.03.2020 16:28,"(48.7873154, 9.0750848)"
3,Sana Klinik Oldenburg in Holstein,"Mühlenamp 5, 23758 Oldenburg",Sana Klinik Oldenburg in Holstein Innere Mühlenamp 5 23758 Oldenburg,Intensivstation Website,SH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 16:02,"(None, None)"
4,Klinik Hallerwiese,"St. Johannis-Mühlgasse 19, 90419 Nürnberg",Klinik Hallerwiese Anästhesie und Intensivmedizin St. Johannis-Mühlgasse 19 90419 Nürnberg,Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 15:35,"(49.4562627, 11.0668963)"
5,Klinik Neustadt an der Aisch,"Paracelsusustr. 30, 91413 Neustadt/Aisch",Klinik Neustadt an der Aisch Paracelsusustr. 30 91413 Neustadt/Aisch,Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 15:49,"(None, None)"
6,KMG Klinikum Pritzwalk,"Giesensdorfer Weg 2a, 16928 Pritzwalk",KMG Klinikum Pritzwalk Klinik für Anästhesiologie und Intensivmedizin Giesensdorfer Weg 2a 16928 Pritzwalk,Intensivtation Website,BB,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 15:21,"(53.1443478, 12.1633456)"
7,Kliniken des Landkreises Neumarkt i.d.OPf. / Klinikum Neumarkt,"Nürnberger Straße 5, 92318 Neumarkt i.d.OPf.",Kliniken des Landkreises Neumarkt i.d.OPf. / Klinikum Neumarkt Klinik für Anästhesiologie und Intensivmedizin Nürnberger Straße 5 92318 Neumarkt i.d.OPf.,Intensivstation 1A Website,BY,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 15:03,"(49.2889318, 11.4416073)"
8,Helios St. Marienberg Klinik Helmstedt,"Conringstrasse 26, 38350 Helmstedt",Helios St. Marienberg Klinik Helmstedt Anästhesie/ Kardiologie Conringstrasse 26 38350 Helmstedt,11/12 Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 14:07,"(52.2318762, 10.999309077774718)"
9,Helios Klinikum München West,"Steinerweg 5, 81241 München",Helios Klinikum München West Anästhesiologie Intensivmedizin Steinerweg 5 81241 München,2A ICU Website,BY,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 13:59,"(48.1454229, 11.4542231)"
